filename, D_total_true, D_total_pred, error, raw_pred_vector
Gen_R4_267.pt, 1.4142, 1.3546, 0.059622, "[ 1.   -0.03  0.91 -0.03]"
Gen_R4_268.pt, 1.4142, 1.3354, 0.078792, "[ 0.99 -0.02  0.89 -0.04]"
Gen_R4_269.pt, 3.3524, 3.2956, 0.056790, "[0.99 1.29 2.27 1.75]"
Gen_R4_270.pt, 2.6458, 2.6150, 0.030747, "[1.01 0.96 1.97 1.01]"
Gen_R4_271.pt, 2.6458, 2.6530, 0.007270, "[1.01 0.99 2.01 1.  ]"
Gen_R4_272.pt, 4.1625, 4.0599, 0.102597, "[0.99 1.59 2.53 2.57]"
Gen_R4_273.pt, 2.0000, 1.9952, 0.004761, "[0.99 1.04 0.91 1.05]"
Gen_R4_274.pt, 3.6674, 3.6699, 0.002446, "[0.99 1.38 2.63 1.91]"
Gen_R4_275.pt, 3.5113, 3.4984, 0.012882, "[0.99 1.55 1.91 2.28]"
Gen_R4_276.pt, 3.5178, 3.5142, 0.003637, "[1.   1.48 2.13 2.15]"
Gen_R4_277.pt, 2.8320, 2.7980, 0.034042, "[1.   1.23 1.75 1.5 ]"
Gen_R4_278.pt, 1.0000, 0.9945, 0.005518, "[ 0.99  0.03 -0.09 -0.  ]"
Gen_R4_279.pt, 1.4142, 1.4045, 0.009758, "[ 1.   -0.03  0.02  0.98]"
Gen_R4_280.pt, 1.0000, 0.9942, 0.005808, "[ 0.99  0.01 -0.01  0.  ]"
Gen_R4_281.pt, 1.4142, 1.3966, 0.017605, "[ 1.   -0.03  0.01  0.97]"
Gen_R4_282.pt, 1.0000, 1.0039, 0.003927, "[ 1.   -0.05 -0.06 -0.06]"
Gen_R4_283.pt, 1.0000, 1.0026, 0.002618, "[ 1.   -0.05 -0.03 -0.04]"
Gen_R4_284.pt, 1.4142, 1.4078, 0.006435, "[ 0.99 -0.02 -0.    1.  ]"
Gen_R4_285.pt, 1.4142, 1.3867, 0.027525, "[ 0.99 -0.03 -0.    0.98]"
Gen_R4_286.pt, 1.4142, 1.3900, 0.024238, "[ 0.99 -0.04 -0.    0.98]"
Gen_R4_287.pt, 1.4142, 1.3812, 0.033050, "[ 0.98 -0.04  0.    0.97]"
Gen_R4_288.pt, 1.4142, 1.3782, 0.036011, "[ 0.99 -0.03 -0.01  0.96]"
Gen_R4_289.pt, 1.4142, 1.4015, 0.012702, "[ 0.99 -0.05  0.02  0.99]"
Gen_R4_290.pt, 1.0000, 1.0007, 0.000699, "[ 1.   -0.02 -0.07 -0.01]"
Gen_R4_291.pt, 2.0000, 1.9396, 0.060370, "[0.99 0.98 0.95 0.96]"
Gen_R4_292.pt, 2.0000, 1.9462, 0.053788, "[1.   0.97 0.97 0.95]"
Gen_R4_293.pt, 2.0000, 1.8076, 0.192387, "[1.   0.72 0.85 1.02]"
Gen_R4_294.pt, 3.3524, 3.3108, 0.041677, "[0.98 1.26 1.74 2.31]"
Gen_R4_295.pt, 2.0000, 2.0223, 0.022309, "[1.01 1.02 0.99 1.02]"
Gen_R4_296.pt, 3.6674, 3.6994, 0.032008, "[1.   1.4  1.91 2.66]"
Gen_R4_297.pt, 2.8320, 2.8056, 0.026409, "[0.99 1.23 1.48 1.78]"
Gen_R4_298.pt, 1.7321, 1.7033, 0.028774, "[ 1.    0.99  0.96 -0.01]"
Gen_R4_299.pt, 1.7321, 1.7235, 0.008530, "[ 1.    1.01  0.98 -0.01]"
Gen_R4_300.pt, 1.7321, 1.7026, 0.029497, "[1.01 0.96 0.98 0.01]"
Gen_R4_301.pt, 2.0000, 1.9902, 0.009848, "[1.   0.98 0.96 1.04]"
Gen_R4_302.pt, 2.0000, 1.9708, 0.029210, "[1.   0.99 0.98 0.97]"
Gen_R4_303.pt, 2.3702, 2.3466, 0.023659, "[1.   0.97 0.99 1.61]"
Gen_R4_304.pt, 2.0000, 1.9122, 0.087829, "[0.99 0.95 0.93 0.96]"
Gen_R4_305.pt, 2.0000, 1.8734, 0.126552, "[0.98 0.91 0.92 0.94]"
Gen_R4_306.pt, 2.0000, 1.9230, 0.076994, "[0.99 0.92 0.97 0.97]"
Gen_R4_307.pt, 2.0000, 1.9779, 0.022079, "[1.   0.99 0.98 0.99]"
Gen_R4_308.pt, 2.0000, 1.9875, 0.012472, "[1.   0.97 0.99 1.02]"
Gen_R4_309.pt, 1.7321, 1.8051, 0.073076, "[ 1.    1.12  0.99 -0.03]"
Gen_R4_310.pt, 2.9600, 2.9219, 0.038046, "[1.01 1.44 2.11 0.99]"
Gen_R4_311.pt, 1.7321, 1.7071, 0.024908, "[ 1.    1.01  0.95 -0.01]"
Gen_R4_312.pt, 1.7321, 1.7234, 0.008657, "[1.   1.   0.98 0.  ]"
Gen_R4_313.pt, 1.7321, 1.7189, 0.013127, "[1.   0.99 0.99 0.  ]"
Gen_R4_314.pt, 2.0000, 2.1040, 0.103990, "[1.   1.   1.03 1.17]"
Gen_R4_315.pt, 2.2361, 2.2486, 0.012517, "[1.   1.01 1.   1.43]"
Gen_R4_316.pt, 2.6458, 2.6513, 0.005590, "[1.   1.   1.02 2.  ]"
Gen_R4_317.pt, 2.0000, 1.9972, 0.002765, "[1.   1.   1.01 0.99]"
Gen_R4_318.pt, 2.0000, 1.9718, 0.028242, "[0.99 1.   0.97 0.98]"
Gen_R4_319.pt, 2.0000, 2.0007, 0.000657, "[1.   0.96 1.02 1.02]"
Gen_R4_320.pt, 2.0000, 2.0504, 0.050387, "[0.99 0.97 1.05 1.09]"
Gen_R4_321.pt, 2.0000, 2.0110, 0.010981, "[1.   0.98 1.01 1.03]"
Gen_R4_322.pt, 2.6458, 2.5876, 0.058160, "[0.99 0.96 0.97 1.96]"
Gen_R4_323.pt, 2.6458, 2.5991, 0.046700, "[0.98 0.9  1.09 1.95]"
Gen_R4_324.pt, 1.7321, 1.6930, 0.039039, "[ 1.    0.98  0.95 -0.02]"
Gen_R4_325.pt, 1.7321, 1.6489, 0.083169, "[ 1.    0.95  0.9  -0.02]"
Gen_R4_326.pt, 2.6143, 2.5961, 0.018198, "[1.   1.3  1.74 1.01]"
Gen_R4_327.pt, 4.1625, 4.1171, 0.045429, "[0.99 1.61 2.59 2.58]"
Gen_R4_328.pt, 3.5113, 3.5685, 0.057252, "[1.   1.56 2.31 1.99]"
Gen_R4_329.pt, 1.7321, 1.6900, 0.042077, "[ 1.    0.98  0.95 -0.01]"
Gen_R4_330.pt, 2.0000, 1.9782, 0.021805, "[0.99 0.99 0.98 0.99]"
Gen_R4_331.pt, 2.4495, 2.5126, 0.063125, "[0.99 1.   1.   1.82]"
Gen_R4_332.pt, 2.8815, 2.9292, 0.047755, "[1.   1.   0.97 2.37]"
Gen_R4_333.pt, 1.7321, 1.6462, 0.085865, "[ 1.01  0.96  0.88 -0.04]"
Gen_R4_334.pt, 3.5178, 3.5438, 0.026029, "[1.   1.5  2.15 2.16]"
Gen_R4_335.pt, 1.0000, 0.9988, 0.001200, "[ 0.99 -0.   -0.09  0.08]"
Gen_R4_336.pt, 1.7321, 1.7237, 0.008370, "[ 0.99  0.99 -0.04  1.  ]"
Gen_R4_337.pt, 1.0000, 0.9960, 0.003983, "[ 0.99 -0.03 -0.05 -0.04]"
Gen_R4_338.pt, 1.7321, 1.6907, 0.041335, "[ 0.99  0.95 -0.02  0.98]"
Gen_R4_339.pt, 1.7321, 1.7340, 0.001941, "[ 1.    0.99 -0.02  1.01]"
Gen_R4_340.pt, 1.7321, 1.6945, 0.037511, "[ 0.99  0.96 -0.02  0.98]"
Gen_R4_341.pt, 1.0000, 0.9957, 0.004318, "[ 0.99  0.   -0.07  0.01]"
Gen_R4_342.pt, 2.6900, 2.6771, 0.012911, "[1.   1.59 0.99 1.62]"
Gen_R4_343.pt, 2.6900, 2.6960, 0.005994, "[1.   1.63 0.99 1.62]"
Gen_R4_344.pt, 1.7321, 1.5859, 0.146200, "[1.   0.88 0.87 0.03]"
Gen_R4_345.pt, 1.7321, 1.7233, 0.008728, "[1.02 1.17 0.67 0.37]"
Gen_R4_346.pt, 1.7321, 1.6421, 0.089948, "[ 0.99  0.93 -0.02  0.93]"
Gen_R4_347.pt, 1.7321, 1.6877, 0.044357, "[ 0.99  0.96 -0.02  0.98]"
Gen_R4_348.pt, 1.7321, 1.6446, 0.087438, "[ 0.99  0.93 -0.03  0.94]"
Gen_R4_349.pt, 1.7321, 1.6340, 0.098012, "[ 0.99  0.91 -0.07  0.92]"
Gen_R4_350.pt, 1.7321, 1.6566, 0.075459, "[ 1.    0.96  0.91 -0.01]"
Gen_R4_351.pt, 1.7321, 1.6434, 0.088669, "[ 1.02  0.95  0.87 -0.03]"
Gen_R4_352.pt, 2.6900, 2.6316, 0.058410, "[1.   1.59 1.57 0.98]"
Gen_R4_353.pt, 3.6056, 3.4807, 0.124820, "[0.98 1.98 1.92 1.88]"
Gen_R4_354.pt, 2.6900, 2.6642, 0.025764, "[1.   1.64 1.56 0.98]"
Gen_R4_355.pt, 3.6056, 3.5843, 0.021259, "[1.01 1.99 1.97 2.  ]"
Gen_R4_356.pt, 1.7321, 1.6963, 0.035701, "[ 1.    1.01  0.93 -0.01]"
Gen_R4_357.pt, 1.7321, 1.7098, 0.022290, "[1.01 1.   0.95 0.  ]"
Gen_R4_358.pt, 2.6900, 2.6646, 0.025416, "[1.01 1.6  0.97 1.61]"
Gen_R4_359.pt, 2.2361, 2.3004, 0.064307, "[1.   1.44 1.05 1.04]"
Gen_R4_360.pt, 2.2361, 2.3072, 0.071136, "[1.   1.47 1.05 1.03]"
Gen_R4_361.pt, 3.2087, 3.2610, 0.052298, "[1.02 1.83 0.99 2.29]"
Gen_R4_362.pt, 2.6900, 2.6748, 0.015150, "[0.99 1.59 0.99 1.63]"
Gen_R4_363.pt, 1.7321, 1.6939, 0.038146, "[1.01 0.99 0.93 0.01]"
Gen_R4_364.pt, 1.7321, 1.6945, 0.037577, "[ 1.02  1.    0.92 -0.01]"
Gen_R4_365.pt, 2.6900, 2.7558, 0.065778, "[1.   1.65 1.67 1.03]"
Gen_R4_366.pt, 3.6056, 3.5796, 0.025940, "[1.   2.01 1.95 1.99]"
Gen_R4_367.pt, 4.2189, 4.2686, 0.049657, "[1.03 2.22 2.23 2.69]"
Gen_R4_368.pt, 3.6056, 3.5510, 0.054596, "[0.98 1.99 1.95 1.97]"
Gen_R4_369.pt, 3.2087, 3.1661, 0.042637, "[1.   1.85 2.11 1.07]"
Gen_R4_370.pt, 1.7321, 1.6660, 0.066096, "[ 1.02  0.95  0.91 -0.03]"
Gen_R4_371.pt, 4.0420, 4.0033, 0.038760, "[1.   2.11 1.74 2.74]"
Gen_R4_372.pt, 2.6900, 2.6894, 0.000630, "[1.   1.64 1.58 1.03]"
Gen_R4_373.pt, 3.5113, 3.5211, 0.009859, "[1.01 1.97 1.35 2.38]"
Gen_R4_374.pt, 3.5113, 3.5528, 0.041480, "[1.01 1.99 2.3  1.52]"
Gen_R4_375.pt, 4.2189, 4.2622, 0.043312, "[1.01 2.26 2.67 2.22]"
Gen_R4_376.pt, 4.0420, 4.0251, 0.016890, "[1.   2.14 2.73 1.78]"
Gen_R4_377.pt, 1.4142, 1.3961, 0.018087, "[ 1.    0.96 -0.09 -0.13]"
Gen_R4_378.pt, 1.4142, 1.3845, 0.029750, "[ 0.99  0.96 -0.02  0.01]"
Gen_R4_379.pt, 1.4142, 1.3962, 0.018048, "[ 1.    0.97 -0.03 -0.04]"
Gen_R4_380.pt, 1.4142, 1.3847, 0.029480, "[ 0.99  0.03 -0.    0.97]"
Gen_R4_381.pt, 1.4142, 1.3542, 0.060003, "[ 0.98  0.13 -0.01  0.93]"
Gen_R4_382.pt, 1.4142, 1.3551, 0.059130, "[ 0.98 -0.02 -0.02  0.93]"
Gen_R4_383.pt, 1.4142, 1.4992, 0.084963, "[ 1.01  1.1  -0.12 -0.09]"
Gen_R4_384.pt, 1.7321, 1.6580, 0.074092, "[1.   0.02 0.9  0.96]"
Gen_R4_385.pt, 1.7321, 1.6805, 0.051566, "[ 1.   -0.    0.96  0.95]"
Gen_R4_386.pt, 1.4142, 1.4092, 0.005049, "[ 1.    0.99 -0.   -0.01]"
Gen_R4_387.pt, 1.4142, 1.4030, 0.011202, "[ 1.    0.98 -0.01 -0.02]"
Gen_R4_388.pt, 1.4142, 1.4029, 0.011275, "[ 1.    0.99 -0.03 -0.02]"
Gen_R4_389.pt, 1.7321, 1.6513, 0.080747, "[1.   0.03 0.91 0.95]"
Gen_R4_390.pt, 1.7321, 1.6708, 0.061288, "[1.01 0.33 0.72 1.07]"
Gen_R4_391.pt, 2.1490, 2.1046, 0.044382, "[ 1.   -0.03  0.95  1.59]"
Gen_R4_392.pt, 1.7321, 1.6534, 0.078687, "[ 0.99 -0.02  0.93  0.94]"
Gen_R4_393.pt, 1.7321, 1.6796, 0.052480, "[1.   0.01 0.95 0.96]"
Gen_R4_394.pt, 1.4142, 1.4059, 0.008334, "[ 1.01  0.98 -0.04  0.03]"
Gen_R4_395.pt, 1.4142, 1.4119, 0.002340, "[ 1.    0.99 -0.05  0.01]"
Gen_R4_396.pt, 2.1490, 2.0683, 0.080635, "[ 0.99 -0.01  1.55  0.94]"
Gen_R4_397.pt, 3.0000, 2.9149, 0.085089, "[ 0.98 -0.04  1.92  1.96]"
Gen_R4_398.pt, 1.4142, 1.4106, 0.003577, "[ 1.01  0.99 -0.02  0.  ]"
Gen_R4_399.pt, 1.7321, 1.7520, 0.019943, "[1.   0.99 0.01 1.04]"
Gen_R4_400.pt, 1.7321, 1.6967, 0.035355, "[ 1.    0.99 -0.02  0.94]"
Gen_R4_401.pt, 2.1490, 2.0738, 0.075173, "[0.98 0.96 0.01 1.55]"
Gen_R4_402.pt, 1.4142, 1.4006, 0.013566, "[ 1.    0.98 -0.01  0.04]"
Gen_R4_403.pt, 1.7321, 1.7039, 0.028158, "[ 1.    0.98 -0.03  0.96]"
Gen_R4_404.pt, 1.7321, 1.7207, 0.011366, "[ 1.01  0.98 -0.01  0.99]"
Gen_R4_405.pt, 2.1490, 2.1695, 0.020555, "[0.99 1.06 0.02 1.61]"
Gen_R4_406.pt, 1.4142, 1.3766, 0.037574, "[ 0.99  0.96 -0.03 -0.04]"
Gen_R4_407.pt, 1.7321, 1.6865, 0.045593, "[ 0.99  0.96 -0.01  0.97]"
Gen_R4_408.pt, 1.7321, 1.6895, 0.042536, "[ 0.99  0.98 -0.03  0.95]"
Gen_R4_409.pt, 2.1490, 1.9827, 0.166234, "[0.98 0.97 0.   1.43]"
Gen_R4_410.pt, 1.7321, 1.7484, 0.016396, "[1.   1.   0.01 1.02]"
Gen_R4_411.pt, 1.7321, 1.7157, 0.016308, "[ 1.    0.98 -0.01  0.99]"
Gen_R4_412.pt, 1.7321, 1.7280, 0.004069, "[1.   0.99 0.01 1.01]"
Gen_R4_413.pt, 1.7321, 1.6977, 0.034386, "[ 0.99  0.97 -0.01  0.98]"
Gen_R4_414.pt, 1.7321, 1.6860, 0.046021, "[ 0.99  0.94 -0.03  0.99]"
Gen_R4_415.pt, 1.7321, 1.6147, 0.117305, "[ 0.99  0.79 -0.03  1.  ]"
Gen_R4_416.pt, 1.7321, 1.7092, 0.022873, "[ 1.    0.95 -0.03  1.01]"
Gen_R4_417.pt, 1.7321, 1.6255, 0.106508, "[ 0.99  0.8  -0.05  1.01]"
Gen_R4_418.pt, 1.7321, 1.7299, 0.002119, "[ 1.    0.99 -0.03  1.  ]"
Gen_R4_419.pt, 1.7321, 1.7320, 0.000089, "[ 1.    1.   -0.03  1.  ]"
Gen_R4_420.pt, 1.7321, 1.7107, 0.021367, "[ 1.    0.96 -0.01  1.01]"
Gen_R4_421.pt, 1.7321, 1.6952, 0.036824, "[0.99 0.96 0.01 0.99]"
Gen_R4_422.pt, 1.7321, 1.7272, 0.004828, "[1.   0.97 0.   1.02]"
Gen_R4_423.pt, 1.4142, 1.3864, 0.027823, "[ 1.    0.96 -0.06 -0.01]"
Gen_R4_424.pt, 2.0000, 1.9678, 0.032179, "[1.   1.   0.97 0.97]"
Gen_R4_425.pt, 2.0000, 1.9831, 0.016893, "[0.99 0.98 0.96 1.04]"
Gen_R4_426.pt, 2.0000, 2.0149, 0.014860, "[1.01 1.02 1.   1.  ]"
Gen_R4_427.pt, 2.6900, 2.6788, 0.011183, "[0.98 1.   1.63 1.6 ]"
Gen_R4_428.pt, 2.6900, 2.7107, 0.020663, "[0.98 1.02 1.6  1.67]"
Gen_R4_429.pt, 2.0000, 2.0092, 0.009242, "[1.02 0.96 1.01 1.02]"
Gen_R4_430.pt, 2.6900, 2.7137, 0.023691, "[0.99 1.03 1.65 1.6 ]"
Gen_R4_431.pt, 2.6900, 2.6975, 0.007501, "[0.99 1.01 1.6  1.64]"
Gen_R4_432.pt, 1.4142, 1.4024, 0.011776, "[ 1.    0.98 -0.05  0.01]"
Gen_R4_433.pt, 1.4142, 1.3989, 0.015311, "[ 1.01  0.97 -0.03 -0.01]"
Gen_R4_434.pt, 1.7321, 1.7229, 0.009198, "[ 1.01  1.01  0.97 -0.  ]"
Gen_R4_435.pt, 1.7321, 1.7217, 0.010367, "[ 1.01  0.99  0.98 -0.02]"
Gen_R4_436.pt, 1.7321, 1.7035, 0.028524, "[ 1.01  0.98  0.96 -0.  ]"
Gen_R4_437.pt, 1.7321, 1.7472, 0.015180, "[ 1.01  1.04  0.98 -0.02]"
Gen_R4_438.pt, 2.1490, 2.1301, 0.018875, "[1.01 1.   1.58 0.  ]"
Gen_R4_439.pt, 2.1490, 2.1301, 0.018850, "[ 1.01  1.07  1.54 -0.  ]"
Gen_R4_440.pt, 1.4142, 1.4102, 0.004059, "[ 1.01  0.99 -0.04  0.02]"
Gen_R4_441.pt, 1.7321, 1.7117, 0.020328, "[ 1.    0.99 -0.01  0.97]"
Gen_R4_442.pt, 1.4142, 1.4183, 0.004123, "[ 1.01  0.99 -0.01  0.03]"
Gen_R4_443.pt, 1.7321, 1.7026, 0.029404, "[ 1.    0.96 -0.02  0.99]"
Gen_R4_444.pt, 1.7321, 1.7193, 0.012764, "[1.01 0.92 0.01 1.04]"
Gen_R4_445.pt, 1.7321, 1.7280, 0.004053, "[ 1.01  0.94 -0.03  1.04]"
Gen_R4_446.pt, 1.7321, 1.6896, 0.042492, "[ 1.    0.95 -0.03  0.98]"
Gen_R4_447.pt, 1.7321, 1.6844, 0.047659, "[ 1.    0.94 -0.02  0.98]"
Gen_R4_448.pt, 1.4142, 1.4298, 0.015611, "[ 1.01  1.01 -0.05  0.01]"
Gen_R4_449.pt, 2.0000, 1.9922, 0.007781, "[1.01 1.02 0.97 0.99]"
Gen_R4_450.pt, 2.0000, 1.9587, 0.041293, "[1.   1.   0.93 0.98]"
Gen_R4_451.pt, 2.0000, 1.9994, 0.000585, "[1.02 1.   0.99 0.99]"
Gen_R4_452.pt, 2.9600, 2.9341, 0.025837, "[1.   1.   1.45 2.12]"
Gen_R4_453.pt, 2.6143, 2.5707, 0.043581, "[1.01 0.99 1.3  1.71]"
Gen_R4_454.pt, 1.7321, 1.7204, 0.011689, "[ 1.01  0.98  0.98 -0.02]"
Gen_R4_455.pt, 1.7321, 1.7445, 0.012486, "[1.01 1.01 1.   0.07]"
Gen_R4_456.pt, 1.7321, 1.6848, 0.047264, "[ 1.    1.09  0.8  -0.02]"
Gen_R4_457.pt, 2.0000, 1.9850, 0.015005, "[1.   1.   0.96 1.01]"
Gen_R4_458.pt, 2.0000, 2.0020, 0.002042, "[1.01 1.02 0.95 1.03]"
Gen_R4_459.pt, 2.3702, 2.3547, 0.015511, "[1.   1.   0.96 1.62]"
Gen_R4_460.pt, 2.0000, 1.9706, 0.029446, "[1.   0.99 0.97 0.98]"
Gen_R4_461.pt, 2.0000, 1.9778, 0.022208, "[1.01 1.   0.98 0.97]"
Gen_R4_462.pt, 2.0000, 1.9883, 0.011712, "[1.   1.   0.96 1.01]"
Gen_R4_463.pt, 1.7321, 1.7114, 0.020610, "[ 1.01  1.01  0.95 -0.  ]"
Gen_R4_464.pt, 1.7321, 1.6691, 0.062969, "[ 1.    1.    0.88 -0.02]"
Gen_R4_465.pt, 2.3702, 2.3758, 0.005545, "[0.99 0.98 1.61 1.05]"
Gen_R4_466.pt, 3.1623, 3.1142, 0.048061, "[0.98 0.99 1.96 1.98]"
Gen_R4_467.pt, 2.6143, 2.6277, 0.013418, "[1.   1.03 1.74 1.35]"
Gen_R4_468.pt, 1.7321, 1.7660, 0.033990, "[1.01 1.06 0.99 0.03]"
Gen_R4_469.pt, 2.0000, 1.9880, 0.011956, "[0.99 0.99 1.   0.99]"
Gen_R4_470.pt, 2.2361, 2.2581, 0.022024, "[1.01 1.   1.02 1.43]"
Gen_R4_471.pt, 2.6458, 2.6610, 0.015274, "[1.   0.99 1.01 2.02]"
Gen_R4_472.pt, 1.7321, 1.6919, 0.040123, "[ 1.01  0.98  0.94 -0.01]"
Gen_R4_473.pt, 2.2361, 2.2261, 0.009964, "[1.   1.   1.41 0.98]"
Gen_R4_474.pt, 3.2087, 3.1665, 0.042186, "[0.99 1.   1.78 2.21]"
Gen_R4_475.pt, 2.6900, 2.6759, 0.014076, "[1.   1.01 1.6  1.61]"
Gen_R4_476.pt, 2.6900, 2.7505, 0.060473, "[1.   1.03 1.65 1.67]"
Gen_R4_477.pt, 2.6458, 2.6284, 0.017348, "[1.   0.99 1.99 0.99]"
Gen_R4_478.pt, 3.2087, 3.2702, 0.061496, "[0.98 1.16 2.2  1.88]"
Gen_R4_479.pt, 2.9600, 2.9487, 0.011287, "[0.99 1.   2.15 1.44]"
Gen_R4_480.pt, 1.4142, 1.3851, 0.029101, "[ 0.99  0.97 -0.02 -0.04]"
Gen_R4_481.pt, 2.0000, 1.9201, 0.079903, "[0.99 0.93 0.96 0.95]"
Gen_R4_482.pt, 2.0000, 1.9235, 0.076544, "[0.99 0.89 1.03 0.93]"
Gen_R4_483.pt, 2.0000, 1.9627, 0.037346, "[1.01 0.98 0.95 0.98]"
Gen_R4_484.pt, 2.0000, 1.9636, 0.036375, "[0.99 0.96 0.98 1.  ]"
Gen_R4_485.pt, 2.6900, 2.6110, 0.078968, "[0.99 0.95 1.56 1.58]"
Gen_R4_486.pt, 2.6900, 2.6285, 0.061524, "[0.99 0.95 1.6  1.57]"
Gen_R4_487.pt, 2.6900, 2.6298, 0.060195, "[0.99 0.96 1.58 1.58]"
Gen_R4_488.pt, 2.6900, 2.6490, 0.040992, "[0.97 0.97 1.67 1.53]"
Gen_R4_489.pt, 1.7321, 1.7000, 0.032038, "[ 0.99  0.95 -0.02  1.  ]"
Gen_R4_490.pt, 1.7321, 1.6877, 0.044378, "[ 0.99  0.96 -0.03  0.97]"
Gen_R4_491.pt, 1.7321, 1.7066, 0.025467, "[ 1.    0.94 -0.04  1.01]"
Gen_R4_492.pt, 2.0000, 1.9566, 0.043395, "[1.   0.98 0.97 0.97]"
Gen_R4_493.pt, 2.0000, 1.8681, 0.131916, "[1.   0.96 0.76 1.  ]"
Gen_R4_494.pt, 2.0000, 1.9893, 0.010681, "[1.01 1.01 0.97 0.99]"
Gen_R4_495.pt, 2.0000, 1.9679, 0.032146, "[1.   0.95 0.99 1.  ]"
Gen_R4_496.pt, 2.0000, 1.9558, 0.044158, "[1.   0.95 0.94 1.01]"
Gen_R4_497.pt, 2.0000, 1.9967, 0.003302, "[1.   0.98 1.01 1.  ]"
Gen_R4_498.pt, 2.3702, 2.3295, 0.040770, "[1.   0.96 1.61 0.96]"
Gen_R4_499.pt, 2.3702, 2.3310, 0.039198, "[1.   0.95 1.59 1.  ]"
Gen_R4_500.pt, 2.3702, 2.3750, 0.004746, "[1.   0.98 1.63 1.  ]"
Gen_R4_501.pt, 1.7321, 1.6498, 0.082287, "[ 0.99  0.91 -0.02  0.96]"
Gen_R4_502.pt, 2.6458, 2.5642, 0.081589, "[0.99 0.96 0.96 1.93]"
Gen_R4_503.pt, 2.6458, 2.5769, 0.068825, "[0.99 0.93 0.96 1.97]"
Gen_R4_504.pt, 1.4142, 1.3869, 0.027305, "[ 1.01  0.95 -0.08 -0.01]"
Gen_R4_505.pt, 1.7321, 1.7031, 0.028949, "[ 1.01  1.    0.94 -0.01]"
Gen_R4_506.pt, 1.7321, 1.6955, 0.036506, "[ 1.01  0.98  0.94 -0.01]"
Gen_R4_507.pt, 2.1490, 2.1316, 0.017314, "[1.01 1.01 1.58 0.01]"
Gen_R4_508.pt, 1.7321, 1.7069, 0.025162, "[1.   1.   0.95 0.01]"
Gen_R4_509.pt, 1.7321, 1.7059, 0.026176, "[ 1.01  0.99  0.96 -0.02]"
Gen_R4_510.pt, 1.7321, 1.6953, 0.036705, "[ 1.01  0.98  0.94 -0.02]"
Gen_R4_511.pt, 1.7321, 1.7291, 0.002984, "[1.01 1.   0.99 0.02]"
Gen_R4_512.pt, 1.7321, 1.6813, 0.050789, "[ 1.    1.02  0.89 -0.  ]"
Gen_R4_513.pt, 1.7321, 1.6797, 0.052302, "[ 1.    1.    0.9  -0.01]"
Gen_R4_514.pt, 1.7321, 1.6919, 0.040119, "[ 1.01  0.98  0.94 -0.02]"
Gen_R4_515.pt, 1.7321, 1.7312, 0.000833, "[ 1.01  1.    0.99 -0.02]"
Gen_R4_516.pt, 1.7321, 1.6843, 0.047767, "[ 1.    1.01  0.9  -0.03]"
Gen_R4_517.pt, 1.7321, 1.6806, 0.051449, "[0.99 0.69 1.16 0.13]"
Gen_R4_518.pt, 1.7321, 1.7006, 0.031427, "[ 1.02  0.96  0.97 -0.03]"
Gen_R4_519.pt, 1.7321, 1.7356, 0.003551, "[1.01 1.01 0.99 0.02]"
Gen_R4_520.pt, 1.7321, 1.7251, 0.006971, "[ 1.02  1.02  0.94 -0.  ]"
Gen_R4_521.pt, 1.7321, 1.7174, 0.014616, "[1.   1.   0.97 0.01]"
Gen_R4_522.pt, 2.0000, 1.9761, 0.023867, "[1.   1.01 0.98 0.97]"
Gen_R4_523.pt, 2.0000, 1.9508, 0.049152, "[1.   0.97 0.98 0.94]"
Gen_R4_524.pt, 2.3702, 2.3926, 0.022348, "[1.   1.02 1.01 1.63]"
Gen_R4_525.pt, 1.7321, 1.7290, 0.003046, "[1.01 1.   0.98 0.03]"
Gen_R4_526.pt, 2.0000, 2.0016, 0.001614, "[1.   0.99 0.99 1.02]"
Gen_R4_527.pt, 2.0000, 1.9789, 0.021061, "[1.01 0.95 0.99 1.  ]"
Gen_R4_528.pt, 2.3702, 2.3930, 0.022808, "[1.01 1.01 1.   1.64]"
Gen_R4_529.pt, 1.7321, 1.7608, 0.028751, "[1.01 1.02 1.02 0.02]"
Gen_R4_530.pt, 2.0000, 2.0164, 0.016351, "[1.01 1.02 1.   1.  ]"
Gen_R4_531.pt, 2.0000, 2.0350, 0.034974, "[1.02 1.01 1.02 1.02]"
Gen_R4_532.pt, 2.3702, 2.3929, 0.022621, "[1.01 1.02 1.01 1.63]"
Gen_R4_533.pt, 2.0000, 2.0377, 0.037657, "[1.   1.01 1.   1.06]"
Gen_R4_534.pt, 2.0000, 1.9823, 0.017676, "[1.   0.97 0.99 1.01]"
Gen_R4_535.pt, 2.0000, 1.9900, 0.009960, "[1.   0.99 0.98 1.01]"
Gen_R4_536.pt, 2.0000, 2.0930, 0.092957, "[1.02 1.03 1.09 1.05]"
Gen_R4_537.pt, 2.0000, 1.9950, 0.004978, "[1.   0.97 1.   1.02]"
Gen_R4_538.pt, 2.0000, 2.0378, 0.037768, "[1.   1.02 1.02 1.03]"
Gen_R4_539.pt, 2.0000, 1.9885, 0.011537, "[1.   0.99 0.96 1.03]"
Gen_R4_540.pt, 2.0000, 1.9667, 0.033321, "[1.   0.96 0.99 0.99]"
